name,2-letter,3-letter,4-letter,type
Sergeant Fathom Letter,0.214,0.225,0.187,1
Madame Carpell Letter,0.152,0.262,0.212,1
TE First Letter,0.176,0.217,0.196,1
TE Second Letter,0.196,0.240,0.179,1
TE Third Letter,0.190,0.230,0.189,1
TE Fourth Letter,0.190,0.229,0.208,1
First Innocents Abroad Letter I,0.172,0.235,0.195,1
First Innocents Abroad Letter II,0.161,0.217,0.185,1
QCS I,0.204,0.209,0.176,0
QCS II,0.172,0.205,0.170,0
QCS III,0.212,0.196,0.163,0
QCS IV,0.210,0.210,0.159,0
QCS V,0.183,0.202,0.168,0
QCS VI,0.225,0.207,0.172,0
QCS VII,0.192,0.224,0.181,0
QCS VIII,0.213,0.223,0.167,0
QCS IX,0.227,0.220,0.181,0
QCS X,0.192,0.201,0.220,0
